from,to,forecast,actual,index
2025-06-17 08:30:00+00:00,2025-06-17 09:00:00+00:00,71,66,low
2025-06-17 09:00:00+00:00,2025-06-17 09:30:00+00:00,65,59,low
2025-06-17 09:30:00+00:00,2025-06-17 10:00:00+00:00,59,57,low
2025-06-17 10:00:00+00:00,2025-06-17 10:30:00+00:00,58,53,low
2025-06-17 10:30:00+00:00,2025-06-17 11:00:00+00:00,53,52,low
2025-06-17 11:00:00+00:00,2025-06-17 11:30:00+00:00,50,51,low
2025-06-17 11:30:00+00:00,2025-06-17 12:00:00+00:00,49,50,low
2025-06-17 12:00:00+00:00,2025-06-17 12:30:00+00:00,49,50,low
2025-06-17 12:30:00+00:00,2025-06-17 13:00:00+00:00,47,52,low
2025-06-17 13:00:00+00:00,2025-06-17 13:30:00+00:00,48,55,low
2025-06-17 13:30:00+00:00,2025-06-17 14:00:00+00:00,53,55,low
2025-06-17 14:00:00+00:00,2025-06-17 14:30:00+00:00,57,60,low
2025-06-17 14:30:00+00:00,2025-06-17 15:00:00+00:00,53,69,low
2025-06-17 15:00:00+00:00,2025-06-17 15:30:00+00:00,51,84,low
2025-06-17 15:30:00+00:00,2025-06-17 16:00:00+00:00,64,103,moderate
2025-06-17 16:00:00+00:00,2025-06-17 16:30:00+00:00,77,122,moderate
2025-06-17 16:30:00+00:00,2025-06-17 17:00:00+00:00,107,141,moderate
2025-06-17 17:00:00+00:00,2025-06-17 17:30:00+00:00,128,155,moderate
2025-06-17 17:30:00+00:00,2025-06-17 18:00:00+00:00,151,170,moderate
2025-06-17 18:00:00+00:00,2025-06-17 18:30:00+00:00,169,177,moderate
2025-06-17 18:30:00+00:00,2025-06-17 19:00:00+00:00,169,180,high
2025-06-17 19:00:00+00:00,2025-06-17 19:30:00+00:00,178,181,high
2025-06-17 19:30:00+00:00,2025-06-17 20:00:00+00:00,180,179,moderate
2025-06-17 20:00:00+00:00,2025-06-17 20:30:00+00:00,178,175,moderate
2025-06-17 20:30:00+00:00,2025-06-17 21:00:00+00:00,171,175,moderate
2025-06-17 21:00:00+00:00,2025-06-17 21:30:00+00:00,169,172,moderate
2025-06-17 21:30:00+00:00,2025-06-17 22:00:00+00:00,162,162,moderate
2025-06-17 22:00:00+00:00,2025-06-17 22:30:00+00:00,159,151,moderate
2025-06-17 22:30:00+00:00,2025-06-17 23:00:00+00:00,153,145,moderate
2025-06-17 23:00:00+00:00,2025-06-17 23:30:00+00:00,142,137,moderate
2025-06-17 23:30:00+00:00,2025-06-18 00:00:00+00:00,128,127,moderate
2025-06-18 00:00:00+00:00,2025-06-18 00:30:00+00:00,134,129,moderate
2025-06-18 00:30:00+00:00,2025-06-18 01:00:00+00:00,125,132,moderate
2025-06-18 01:00:00+00:00,2025-06-18 01:30:00+00:00,131,130,moderate
2025-06-18 01:30:00+00:00,2025-06-18 02:00:00+00:00,130,131,moderate
2025-06-18 02:00:00+00:00,2025-06-18 02:30:00+00:00,131,130,moderate
2025-06-18 02:30:00+00:00,2025-06-18 03:00:00+00:00,134,134,moderate
2025-06-18 03:00:00+00:00,2025-06-18 03:30:00+00:00,135,137,moderate
2025-06-18 03:30:00+00:00,2025-06-18 04:00:00+00:00,134,137,moderate
2025-06-18 04:00:00+00:00,2025-06-18 04:30:00+00:00,140,136,moderate
2025-06-18 04:30:00+00:00,2025-06-18 05:00:00+00:00,146,133,moderate
2025-06-18 05:00:00+00:00,2025-06-18 05:30:00+00:00,148,140,moderate
2025-06-18 05:30:00+00:00,2025-06-18 06:00:00+00:00,144,148,moderate
2025-06-18 06:00:00+00:00,2025-06-18 06:30:00+00:00,148,146,moderate
2025-06-18 06:30:00+00:00,2025-06-18 07:00:00+00:00,146,146,moderate
2025-06-18 07:00:00+00:00,2025-06-18 07:30:00+00:00,143,138,moderate
2025-06-18 07:30:00+00:00,2025-06-18 08:00:00+00:00,141,129,moderate
2025-06-18 08:00:00+00:00,2025-06-18 08:30:00+00:00,132,120,moderate
2025-06-18 08:30:00+00:00,2025-06-18 09:00:00+00:00,122,109,moderate
2025-06-18 09:00:00+00:00,2025-06-18 09:30:00+00:00,111,98,low
2025-06-18 09:30:00+00:00,2025-06-18 10:00:00+00:00,101,92,low
2025-06-18 10:00:00+00:00,2025-06-18 10:30:00+00:00,95,86,low
2025-06-18 10:30:00+00:00,2025-06-18 11:00:00+00:00,84,84,low
2025-06-18 11:00:00+00:00,2025-06-18 11:30:00+00:00,83,84,low
2025-06-18 11:30:00+00:00,2025-06-18 12:00:00+00:00,73,84,low
2025-06-18 12:00:00+00:00,2025-06-18 12:30:00+00:00,78,82,low
2025-06-18 12:30:00+00:00,2025-06-18 13:00:00+00:00,78,81,low
2025-06-18 13:00:00+00:00,2025-06-18 13:30:00+00:00,75,83,low
2025-06-18 13:30:00+00:00,2025-06-18 14:00:00+00:00,78,85,low
2025-06-18 14:00:00+00:00,2025-06-18 14:30:00+00:00,95,91,low
2025-06-18 14:30:00+00:00,2025-06-18 15:00:00+00:00,96,99,low
2025-06-18 15:00:00+00:00,2025-06-18 15:30:00+00:00,100,117,moderate
2025-06-18 15:30:00+00:00,2025-06-18 16:00:00+00:00,109,136,moderate
2025-06-18 16:00:00+00:00,2025-06-18 16:30:00+00:00,128,154,moderate
2025-06-18 16:30:00+00:00,2025-06-18 17:00:00+00:00,154,159,moderate
2025-06-18 17:00:00+00:00,2025-06-18 17:30:00+00:00,170,171,moderate
2025-06-18 17:30:00+00:00,2025-06-18 18:00:00+00:00,170,182,high
2025-06-18 18:00:00+00:00,2025-06-18 18:30:00+00:00,184,190,high
2025-06-18 18:30:00+00:00,2025-06-18 19:00:00+00:00,191,200,high
2025-06-18 19:00:00+00:00,2025-06-18 19:30:00+00:00,202,207,high
2025-06-18 19:30:00+00:00,2025-06-18 20:00:00+00:00,207,210,high
2025-06-18 20:00:00+00:00,2025-06-18 20:30:00+00:00,214,214,high
2025-06-18 20:30:00+00:00,2025-06-18 21:00:00+00:00,217,215,high
2025-06-18 21:00:00+00:00,2025-06-18 21:30:00+00:00,223,216,high
2025-06-18 21:30:00+00:00,2025-06-18 22:00:00+00:00,217,210,high
2025-06-18 22:00:00+00:00,2025-06-18 22:30:00+00:00,219,207,high
2025-06-18 22:30:00+00:00,2025-06-18 23:00:00+00:00,217,205,high
2025-06-18 23:00:00+00:00,2025-06-18 23:30:00+00:00,205,204,high
2025-06-18 23:30:00+00:00,2025-06-19 00:00:00+00:00,203,199,high
2025-06-19 00:00:00+00:00,2025-06-19 00:30:00+00:00,206,196,high
2025-06-19 00:30:00+00:00,2025-06-19 01:00:00+00:00,202,195,high
2025-06-19 01:00:00+00:00,2025-06-19 01:30:00+00:00,201,189,high
2025-06-19 01:30:00+00:00,2025-06-19 02:00:00+00:00,201,190,high
2025-06-19 02:00:00+00:00,2025-06-19 02:30:00+00:00,193,191,high
2025-06-19 02:30:00+00:00,2025-06-19 03:00:00+00:00,195,189,high
2025-06-19 03:00:00+00:00,2025-06-19 03:30:00+00:00,198,189,high
2025-06-19 03:30:00+00:00,2025-06-19 04:00:00+00:00,197,189,high
2025-06-19 04:00:00+00:00,2025-06-19 04:30:00+00:00,193,187,high
2025-06-19 04:30:00+00:00,2025-06-19 05:00:00+00:00,197,195,high
2025-06-19 05:00:00+00:00,2025-06-19 05:30:00+00:00,190,188,high
2025-06-19 05:30:00+00:00,2025-06-19 06:00:00+00:00,192,181,high
2025-06-19 06:00:00+00:00,2025-06-19 06:30:00+00:00,194,180,high
2025-06-19 06:30:00+00:00,2025-06-19 07:00:00+00:00,182,176,moderate
2025-06-19 07:00:00+00:00,2025-06-19 07:30:00+00:00,176,165,moderate
2025-06-19 07:30:00+00:00,2025-06-19 08:00:00+00:00,171,155,moderate
2025-06-19 08:00:00+00:00,2025-06-19 08:30:00+00:00,161,147,moderate
2025-06-19 08:30:00+00:00,2025-06-19 09:00:00+00:00,152,135,moderate
2025-06-19 09:00:00+00:00,2025-06-19 09:30:00+00:00,142,117,moderate
2025-06-19 09:30:00+00:00,2025-06-19 10:00:00+00:00,133,106,moderate
2025-06-19 10:00:00+00:00,2025-06-19 10:30:00+00:00,109,101,moderate
2025-06-19 10:30:00+00:00,2025-06-19 11:00:00+00:00,104,98,low
2025-06-19 11:00:00+00:00,2025-06-19 11:30:00+00:00,101,94,low
2025-06-19 11:30:00+00:00,2025-06-19 12:00:00+00:00,95,92,low
2025-06-19 12:00:00+00:00,2025-06-19 12:30:00+00:00,91,92,low
2025-06-19 12:30:00+00:00,2025-06-19 13:00:00+00:00,91,91,low
2025-06-19 13:00:00+00:00,2025-06-19 13:30:00+00:00,91,90,low
2025-06-19 13:30:00+00:00,2025-06-19 14:00:00+00:00,95,89,low
2025-06-19 14:00:00+00:00,2025-06-19 14:30:00+00:00,94,94,low
2025-06-19 14:30:00+00:00,2025-06-19 15:00:00+00:00,93,101,moderate
2025-06-19 15:00:00+00:00,2025-06-19 15:30:00+00:00,101,112,moderate
2025-06-19 15:30:00+00:00,2025-06-19 16:00:00+00:00,111,131,moderate
2025-06-19 16:00:00+00:00,2025-06-19 16:30:00+00:00,120,146,moderate
2025-06-19 16:30:00+00:00,2025-06-19 17:00:00+00:00,135,152,moderate
2025-06-19 17:00:00+00:00,2025-06-19 17:30:00+00:00,159,156,moderate
2025-06-19 17:30:00+00:00,2025-06-19 18:00:00+00:00,153,162,moderate
2025-06-19 18:00:00+00:00,2025-06-19 18:30:00+00:00,158,166,moderate
2025-06-19 18:30:00+00:00,2025-06-19 19:00:00+00:00,166,169,moderate
2025-06-19 19:00:00+00:00,2025-06-19 19:30:00+00:00,168,170,moderate
2025-06-19 19:30:00+00:00,2025-06-19 20:00:00+00:00,165,173,moderate
2025-06-19 20:00:00+00:00,2025-06-19 20:30:00+00:00,159,171,moderate
2025-06-19 20:30:00+00:00,2025-06-19 21:00:00+00:00,173,167,moderate
2025-06-19 21:00:00+00:00,2025-06-19 21:30:00+00:00,168,154,moderate
2025-06-19 21:30:00+00:00,2025-06-19 22:00:00+00:00,156,130,moderate
2025-06-19 22:00:00+00:00,2025-06-19 22:30:00+00:00,143,123,moderate
2025-06-19 22:30:00+00:00,2025-06-19 23:00:00+00:00,120,115,moderate
2025-06-19 23:00:00+00:00,2025-06-19 23:30:00+00:00,110,104,moderate
2025-06-19 23:30:00+00:00,2025-06-20 00:00:00+00:00,96,101,moderate
2025-06-20 00:00:00+00:00,2025-06-20 00:30:00+00:00,103,103,moderate
2025-06-20 00:30:00+00:00,2025-06-20 01:00:00+00:00,103,105,moderate
2025-06-20 01:00:00+00:00,2025-06-20 01:30:00+00:00,105,101,moderate
2025-06-20 01:30:00+00:00,2025-06-20 02:00:00+00:00,105,106,moderate
2025-06-20 02:00:00+00:00,2025-06-20 02:30:00+00:00,97,108,moderate
2025-06-20 02:30:00+00:00,2025-06-20 03:00:00+00:00,106,106,moderate
2025-06-20 03:00:00+00:00,2025-06-20 03:30:00+00:00,107,107,moderate
2025-06-20 03:30:00+00:00,2025-06-20 04:00:00+00:00,110,114,moderate
2025-06-20 04:00:00+00:00,2025-06-20 04:30:00+00:00,109,118,moderate
2025-06-20 04:30:00+00:00,2025-06-20 05:00:00+00:00,119,123,moderate
2025-06-20 05:00:00+00:00,2025-06-20 05:30:00+00:00,116,124,moderate
2025-06-20 05:30:00+00:00,2025-06-20 06:00:00+00:00,138,129,moderate
2025-06-20 06:00:00+00:00,2025-06-20 06:30:00+00:00,128,132,moderate
2025-06-20 06:30:00+00:00,2025-06-20 07:00:00+00:00,139,132,moderate
2025-06-20 07:00:00+00:00,2025-06-20 07:30:00+00:00,136,129,moderate
2025-06-20 07:30:00+00:00,2025-06-20 08:00:00+00:00,129,131,moderate
2025-06-20 08:00:00+00:00,2025-06-20 08:30:00+00:00,120,124,moderate
2025-06-20 08:30:00+00:00,2025-06-20 09:00:00+00:00,121,116,moderate
2025-06-20 09:00:00+00:00,2025-06-20 09:30:00+00:00,116,103,moderate
2025-06-20 09:30:00+00:00,2025-06-20 10:00:00+00:00,105,92,low
2025-06-20 10:00:00+00:00,2025-06-20 10:30:00+00:00,93,89,low
2025-06-20 10:30:00+00:00,2025-06-20 11:00:00+00:00,88,87,low
2025-06-20 11:00:00+00:00,2025-06-20 11:30:00+00:00,87,83,low
2025-06-20 11:30:00+00:00,2025-06-20 12:00:00+00:00,87,84,low
2025-06-20 12:00:00+00:00,2025-06-20 12:30:00+00:00,83,84,low
